1.0.0
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.9199
step 0, training accuracy 0.08
step 100, training accuracy 0.82
step 200, training accuracy 0.84
step 300, training accuracy 0.94
step 400, training accuracy 0.96
step 500, training accuracy 0.96
step 600, training accuracy 0.96
step 700, training accuracy 0.98
step 800, training accuracy 0.94
step 900, training accuracy 0.96
test accuracy 0.9641
